pairkey,year,cam_num,sample_num,label_filename,T_filename,B_filename,T_label,B_label,has_T,has_B,n_views,agreed,real_conflict,label_chestnut,multiple,chunk,reviewed
2025_Conforme_1_Cam_X_1_0.jpg,2025,1,0,Conforme,2025_Conforme_1_Cam_T_1_0.jpg,2025_Conforme_1_Cam_B_1_0.jpg,Vide,Vide,True,True,2,True,False,Vide,False,False,True
2025_Conforme_1_Cam_X_1_1.jpg,2025,1,1,Conforme,2025_Conforme_1_Cam_T_1_1.jpg,2025_Conforme_1_Cam_B_1_1.jpg,Vide,Vide,True,True,2,True,False,Vide,False,False,True
2025_Conforme_1_Cam_X_1_10.jpg,2025,1,10,Conforme,2025_Conforme_1_Cam_T_1_10.jpg,2025_Conforme_1_Cam_B_1_10.jpg,Vide,Vide,True,True,2,True,False,Vide,False,False,True
2025_Conforme_1_Cam_X_1_100.jpg,2025,1,100,Conforme,2025_Conforme_1_Cam_T_1_100.jpg,2025_Conforme_1_Cam_B_1_100.jpg,Conforme,Conforme,True,True,2,True,False,Conforme,False,False,True
2025_Conforme_1_Cam_X_1_101.jpg,2025,1,101,Conforme,2025_Conforme_1_Cam_T_1_101.jpg,2025_Conforme_1_Cam_B_1_101.jpg,Conforme,Vide,True,True,2,False,False,Conforme,False,False,True
2025_Conforme_1_Cam_X_1_102.jpg,2025,1,102,Conforme,2025_Conforme_1_Cam_T_1_102.jpg,2025_Conforme_1_Cam_B_1_102.jpg,Vide,Conforme,True,True,2,False,False,Conforme,False,False,True
2025_Conforme_1_Cam_X_1_103.jpg,2025,1,103,Conforme,2025_Conforme_1_Cam_T_1_103.jpg,2025_Conforme_1_Cam_B_1_103.jpg,Vide,Conforme,True,True,2,False,False,Conforme,True,False,True
2025_Conforme_1_Cam_X_1_104.jpg,2025,1,104,Conforme,2025_Conforme_1_Cam_T_1_104.jpg,2025_Conforme_1_Cam_B_1_104.jpg,Conforme,Conforme,True,True,2,True,False,Conforme,False,False,True
2025_Conforme_1_Cam_X_1_105.jpg,2025,1,105,Conforme,2025_Conforme_1_Cam_T_1_105.jpg,2025_Conforme_1_Cam_B_1_105.jpg,Vide,Conforme,True,True,2,False,False,Conforme,False,False,True
2025_Conforme_1_Cam_X_1_106.jpg,2025,1,106,Conforme,2025_Conforme_1_Cam_T_1_106.jpg,2025_Conforme_1_Cam_B_1_106.jpg,Conforme,Vide,True,True,2,False,False,Conforme,False,False,True
2025_Conforme_1_Cam_X_1_107.jpg,2025,1,107,Conforme,2025_Conforme_1_Cam_T_1_107.jpg,2025_Conforme_1_Cam_B_1_107.jpg,Conforme,Conforme,True,True,2,True,False,Conforme,False,False,True
2025_Conforme_1_Cam_X_1_108.jpg,2025,1,108,Conforme,2025_Conforme_1_Cam_T_1_108.jpg,2025_Conforme_1_Cam_B_1_108.jpg,Conforme,Vide,True,True,2,False,False,Conforme,False,False,True
2025_Conforme_1_Cam_X_1_109.jpg,2025,1,109,Conforme,2025_Conforme_1_Cam_T_1_109.jpg,2025_Conforme_1_Cam_B_1_109.jpg,Conforme,Vide,True,True,2,False,False,Conforme,False,False,True
2025_Conforme_1_Cam_X_1_11.jpg,2025,1,11,Conforme,2025_Conforme_1_Cam_T_1_11.jpg,2025_Conforme_1_Cam_B_1_11.jpg,Vide,Vide,True,True,2,True,False,Vide,False,False,True
2025_Conforme_1_Cam_X_1_110.jpg,2025,1,110,Conforme,2025_Conforme_1_Cam_T_1_110.jpg,2025_Conforme_1_Cam_B_1_110.jpg,Conforme,Vide,True,True,2,False,False,Conforme,False,False,True
2025_Conforme_1_Cam_X_1_111.jpg,2025,1,111,Conforme,2025_Conforme_1_Cam_T_1_111.jpg,2025_Conforme_1_Cam_B_1_111.jpg,Conforme,Vide,True,True,2,False,False,Conforme,False,False,True
2025_Conforme_1_Cam_X_1_112.jpg,2025,1,112,Conforme,2025_Conforme_1_Cam_T_1_112.jpg,2025_Conforme_1_Cam_B_1_112.jpg,Conforme,Conforme,True,True,2,True,False,Conforme,False,False,True
2025_Conforme_1_Cam_X_1_113.jpg,2025,1,113,Conforme,2025_Conforme_1_Cam_T_1_113.jpg,2025_Conforme_1_Cam_B_1_113.jpg,Conforme,Conforme,True,True,2,True,False,Conforme,False,False,True
2025_Conforme_1_Cam_X_1_114.jpg,2025,1,114,Conforme,2025_Conforme_1_Cam_T_1_114.jpg,2025_Conforme_1_Cam_B_1_114.jpg,Conforme,Conforme,True,True,2,True,False,Conforme,False,False,True
2025_Conforme_1_Cam_X_1_115.jpg,2025,1,115,Conforme,2025_Conforme_1_Cam_T_1_115.jpg,2025_Conforme_1_Cam_B_1_115.jpg,Conforme,Vide,True,True,2,False,False,Conforme,False,False,True
2025_Conforme_1_Cam_X_1_116.jpg,2025,1,116,Conforme,2025_Conforme_1_Cam_T_1_116.jpg,2025_Conforme_1_Cam_B_1_116.jpg,Vide,Vide,True,True,2,True,False,Vide,False,False,True
2025_Conforme_1_Cam_X_1_117.jpg,2025,1,117,Conforme,2025_Conforme_1_Cam_T_1_117.jpg,2025_Conforme_1_Cam_B_1_117.jpg,Conforme,Conforme,True,True,2,True,False,Conforme,False,False,True
2025_Conforme_1_Cam_X_1_118.jpg,2025,1,118,Conforme,2025_Conforme_1_Cam_T_1_118.jpg,2025_Conforme_1_Cam_B_1_118.jpg,Conforme,Conforme,True,True,2,True,False,Conforme,True,False,True
2025_Conforme_1_Cam_X_1_119.jpg,2025,1,119,Conforme,2025_Conforme_1_Cam_T_1_119.jpg,2025_Conforme_1_Cam_B_1_119.jpg,Vide,Conforme,True,True,2,False,False,Conforme,False,False,True
2025_Conforme_1_Cam_X_1_12.jpg,2025,1,12,Conforme,2025_Conforme_1_Cam_T_1_12.jpg,2025_Conforme_1_Cam_B_1_12.jpg,Vide,Vide,True,True,2,True,False,Vide,False,False,True
